user_id,age,current_city,target_cities,persona,monthly_income,dependents_count,priority_1,priority_2,priority_3,has_children,years_experience
1,24,Hyderabad,Mumbai|Delhi|Chennai|Bengaluru,budget_focused,33399,0,infrastructure,affordability,job_market,False,16.3
2,23,Hyderabad,Mumbai|Delhi|Chennai,early_career,75359,0,livability,affordability,healthcare,False,1.2
3,43,Mumbai,Chennai|Hyderabad,family_focused,208398,2,healthcare,livability,job_market,True,17.4
4,36,Hyderabad,Delhi|Pune|Mumbai,budget_focused,63392,2,pollution,job_market,livability,False,17.4
5,32,Mumbai,Chennai|Delhi|Hyderabad,budget_focused,85429,1,job_market,affordability,infrastructure,True,7.7
6,28,Chennai,Mumbai|Hyderabad|Bengaluru,family_focused,145249,1,healthcare,safety,livability,True,8.6
7,29,Delhi,Chennai|Mumbai,early_career,55313,0,livability,affordability,job_market,False,2.6
8,42,Pune,Mumbai|Chennai|Delhi,family_focused,183124,3,growth,schools,pollution,True,10.9
9,30,Mumbai,Bengaluru|Chennai|Delhi,early_career,49664,0,job_market,growth,affordability,False,3.3
10,41,Pune,Chennai|Delhi|Hyderabad,family_focused,237650,2,growth,schools,safety,True,9.6
11,28,Chennai,Bengaluru|Pune|Delhi,early_career,38341,0,job_market,livability,growth,False,3.4
12,27,Delhi,Bengaluru|Hyderabad,budget_focused,81549,1,pollution,infrastructure,job_market,True,2.8
13,36,Hyderabad,Delhi|Bengaluru|Chennai,family_focused,102576,2,safety,healthcare,schools,False,14.7
14,27,Mumbai,Pune|Delhi|Chennai,budget_focused,70731,0,affordability,infrastructure,pollution,False,9.9
15,25,Bengaluru,Delhi|Hyderabad,budget_focused,61081,0,pollution,affordability,job_market,False,10.9
16,30,Bengaluru,Chennai|Pune|Delhi,early_career,84303,0,livability,affordability,growth,False,2.5
17,34,Chennai,Bengaluru|Hyderabad|Pune|Delhi,family_focused,241022,2,healthcare,schools,safety,True,10.1
18,36,Bengaluru,Chennai|Delhi|Pune,family_focused,113731,2,healthcare,pollution,safety,True,9.9
19,33,Delhi,Pune|Chennai,family_focused,211228,1,healthcare,livability,schools,True,13.9
20,46,Hyderabad,Delhi|Chennai,budget_focused,26390,1,job_market,affordability,pollution,False,10.8
21,30,Pune,Bengaluru|Delhi|Mumbai|Hyderabad,early_career,28070,0,growth,livability,job_market,False,4.1
22,45,Hyderabad,Chennai|Bengaluru|Mumbai,budget_focused,89671,1,job_market,affordability,schools,False,21.8
23,27,Delhi,Mumbai|Chennai,early_career,31597,0,livability,job_market,growth,False,0.8
24,22,Chennai,Pune|Bengaluru|Mumbai,early_career,50627,0,growth,healthcare,job_market,False,1.5
25,28,Hyderabad,Pune|Mumbai|Chennai,budget_focused,58584,1,infrastructure,affordability,pollution,True,9.2
26,28,Pune,Hyderabad|Bengaluru,early_career,32612,0,affordability,livability,safety,False,1.5
27,29,Delhi,Pune|Bengaluru|Chennai,family_focused,250333,4,livability,safety,schools,True,7.0
28,30,Pune,Chennai|Delhi|Hyderabad,early_career,34940,0,livability,job_market,healthcare,False,3.3
29,25,Bengaluru,Mumbai|Pune,early_career,34022,0,job_market,livability,growth,False,2.2
30,24,Delhi,Bengaluru|Mumbai|Pune,early_career,40070,0,job_market,growth,affordability,False,1.0
31,26,Mumbai,Pune|Bengaluru|Hyderabad,early_career,45286,0,growth,affordability,pollution,False,0.6
32,30,Pune,Bengaluru|Hyderabad|Chennai,budget_focused,34683,2,pollution,affordability,job_market,False,5.6
33,27,Pune,Bengaluru|Mumbai,early_career,69816,0,job_market,livability,affordability,False,4.1
34,28,Chennai,Delhi|Hyderabad,early_career,58512,0,livability,affordability,pollution,False,0.7
35,27,Hyderabad,Mumbai|Delhi,budget_focused,41407,1,pollution,job_market,livability,True,8.8
36,23,Mumbai,Chennai|Hyderabad|Bengaluru,early_career,49425,0,safety,pollution,healthcare,False,2.4
37,32,Pune,Bengaluru|Chennai,budget_focused,81048,0,pollution,affordability,safety,False,20.8
38,46,Mumbai,Delhi|Bengaluru,budget_focused,87343,1,affordability,pollution,growth,False,14.8
39,32,Mumbai,Bengaluru|Chennai|Hyderabad|Delhi,family_focused,73174,3,livability,schools,healthcare,True,5.7
40,25,Pune,Mumbai|Bengaluru,early_career,72155,0,livability,job_market,affordability,False,1.7
41,33,Chennai,Delhi|Pune|Bengaluru,budget_focused,27998,3,pollution,affordability,infrastructure,True,1.4
42,25,Chennai,Bengaluru|Mumbai,early_career,64702,0,safety,affordability,livability,False,3.9
43,45,Chennai,Mumbai|Hyderabad,budget_focused,89181,1,pollution,job_market,affordability,False,11.2
44,29,Mumbai,Hyderabad|Bengaluru|Delhi|Pune,early_career,53046,0,job_market,livability,growth,False,2.2
45,47,Pune,Mumbai|Bengaluru|Chennai|Hyderabad,budget_focused,71016,0,affordability,job_market,pollution,False,21.8
46,29,Chennai,Bengaluru|Pune,early_career,59795,0,growth,infrastructure,affordability,False,3.7
47,40,Bengaluru,Pune|Delhi,family_focused,93321,3,safety,healthcare,affordability,True,7.5
48,28,Pune,Hyderabad|Mumbai|Delhi|Chennai,family_focused,128972,2,safety,job_market,schools,True,12.6
49,43,Mumbai,Chennai|Pune,family_focused,224468,3,infrastructure,schools,safety,True,17.2
50,37,Delhi,Chennai|Mumbai|Hyderabad,budget_focused,35725,1,job_market,healthcare,affordability,False,13.9
51,37,Chennai,Mumbai|Hyderabad|Pune|Delhi,budget_focused,77383,2,job_market,infrastructure,affordability,False,16.7
52,25,Hyderabad,Chennai|Bengaluru|Delhi,early_career,78513,0,affordability,livability,growth,False,3.6
53,31,Chennai,Mumbai|Hyderabad|Pune,family_focused,148349,2,schools,safety,healthcare,False,7.7
54,47,Mumbai,Pune|Chennai|Hyderabad|Delhi,budget_focused,71382,2,infrastructure,pollution,job_market,True,13.7
55,27,Delhi,Pune|Mumbai|Hyderabad,early_career,75032,0,job_market,livability,growth,False,1.0
56,22,Chennai,Hyderabad|Bengaluru|Delhi|Mumbai,early_career,69932,1,job_market,affordability,livability,False,3.0
57,38,Mumbai,Pune|Chennai|Hyderabad,budget_focused,83305,1,infrastructure,pollution,affordability,True,9.6
58,22,Chennai,Hyderabad|Delhi|Pune|Mumbai,early_career,61429,0,livability,job_market,safety,False,2.9
59,26,Bengaluru,Delhi|Mumbai|Hyderabad,early_career,38607,0,affordability,growth,job_market,False,4.2
60,41,Chennai,Bengaluru|Mumbai,budget_focused,78955,0,pollution,affordability,job_market,False,20.1
61,48,Bengaluru,Chennai|Delhi,budget_focused,27033,0,job_market,infrastructure,safety,False,21.1
