query_id,user_id,compared_cities,persona,selected_city,query_date
1,1,Hyderabad|Mumbai|Delhi|Chennai|Bengaluru,budget_focused,Chennai,2024-10-13
2,2,Hyderabad|Mumbai|Delhi|Chennai,early_career,Mumbai,2024-09-20
3,3,Mumbai|Chennai|Hyderabad,family_focused,Chennai,2024-08-22
4,4,Hyderabad|Delhi|Pune|Mumbai,budget_focused,Mumbai,2023-09-26
5,5,Mumbai|Chennai|Delhi|Hyderabad,budget_focused,Hyderabad,2023-04-28
6,6,Chennai|Mumbai|Hyderabad|Bengaluru,family_focused,Hyderabad,2023-04-26
7,7,Delhi|Chennai|Mumbai,early_career,Mumbai,2023-03-16
8,8,Pune|Mumbai|Chennai|Delhi,family_focused,Delhi,2023-01-07
9,9,Mumbai|Bengaluru|Chennai|Delhi,early_career,Bengaluru,2024-06-06
10,10,Pune|Chennai|Delhi|Hyderabad,family_focused,Chennai,2023-08-03
11,11,Chennai|Bengaluru|Pune|Delhi,early_career,Pune,2024-05-12
12,12,Delhi|Bengaluru|Hyderabad,budget_focused,Hyderabad,2024-01-02
13,13,Hyderabad|Delhi|Bengaluru|Chennai,family_focused,Bengaluru,2023-02-23
14,14,Mumbai|Pune|Delhi|Chennai,budget_focused,Pune,2023-06-13
15,15,Bengaluru|Delhi|Hyderabad,budget_focused,Delhi,2024-06-30
16,16,Bengaluru|Chennai|Pune|Delhi,early_career,Pune,2023-09-30
17,17,Chennai|Bengaluru|Hyderabad|Pune|Delhi,family_focused,Bengaluru,2024-02-18
18,18,Bengaluru|Chennai|Delhi|Pune,family_focused,Pune,2024-11-15
19,19,Delhi|Pune|Chennai,family_focused,Pune,2023-08-05
20,20,Hyderabad|Delhi|Chennai,budget_focused,Chennai,2024-09-09
21,21,Pune|Bengaluru|Delhi|Mumbai|Hyderabad,early_career,Mumbai,2023-06-30
22,22,Hyderabad|Chennai|Bengaluru|Mumbai,budget_focused,Chennai,2023-09-01
23,23,Delhi|Mumbai|Chennai,early_career,Mumbai,2023-11-16
24,24,Chennai|Pune|Bengaluru|Mumbai,early_career,Mumbai,2024-05-04
25,25,Hyderabad|Pune|Mumbai|Chennai,budget_focused,Chennai,2024-12-22
26,26,Pune|Hyderabad|Bengaluru,early_career,Hyderabad,2023-11-26
27,27,Delhi|Pune|Bengaluru|Chennai,family_focused,Bengaluru,2024-01-26
28,28,Pune|Chennai|Delhi|Hyderabad,early_career,Hyderabad,2023-11-02
29,29,Bengaluru|Mumbai|Pune,early_career,Mumbai,2024-11-03
30,30,Delhi|Bengaluru|Mumbai|Pune,early_career,Bengaluru,2023-07-07
31,31,Mumbai|Pune|Bengaluru|Hyderabad,early_career,Pune,2024-10-05
32,32,Pune|Bengaluru|Hyderabad|Chennai,budget_focused,Bengaluru,2024-12-30
33,33,Pune|Bengaluru|Mumbai,early_career,Bengaluru,2023-03-12
34,34,Chennai|Delhi|Hyderabad,early_career,Hyderabad,2024-04-01
35,35,Hyderabad|Mumbai|Delhi,budget_focused,Mumbai,2024-06-03
36,36,Mumbai|Chennai|Hyderabad|Bengaluru,early_career,Hyderabad,2023-10-19
37,37,Pune|Bengaluru|Chennai,budget_focused,Chennai,2024-09-26
38,38,Mumbai|Delhi|Bengaluru,budget_focused,Bengaluru,2024-06-27
39,39,Mumbai|Bengaluru|Chennai|Hyderabad|Delhi,family_focused,Delhi,2024-10-19
40,40,Pune|Mumbai|Bengaluru,early_career,Mumbai,2024-02-17
41,41,Chennai|Delhi|Pune|Bengaluru,budget_focused,Delhi,2024-07-12
42,42,Chennai|Bengaluru|Mumbai,early_career,Mumbai,2023-01-31
43,43,Chennai|Mumbai|Hyderabad,budget_focused,Hyderabad,2024-06-12
44,44,Mumbai|Hyderabad|Bengaluru|Delhi|Pune,early_career,Bengaluru,2023-02-08
45,45,Pune|Mumbai|Bengaluru|Chennai|Hyderabad,budget_focused,Chennai,2024-06-25
46,46,Chennai|Bengaluru|Pune,early_career,Bengaluru,2023-07-22
47,47,Bengaluru|Pune|Delhi,family_focused,Pune,2023-09-25
48,48,Pune|Hyderabad|Mumbai|Delhi|Chennai,family_focused,Chennai,2024-06-13
49,49,Mumbai|Chennai|Pune,family_focused,Chennai,2023-09-12
50,50,Delhi|Chennai|Mumbai|Hyderabad,budget_focused,Hyderabad,2023-09-14
51,51,Chennai|Mumbai|Hyderabad|Pune|Delhi,budget_focused,Hyderabad,2024-08-21
52,52,Hyderabad|Chennai|Bengaluru|Delhi,early_career,Bengaluru,2024-01-25
53,53,Chennai|Mumbai|Hyderabad|Pune,family_focused,Pune,2024-12-12
54,54,Mumbai|Pune|Chennai|Hyderabad|Delhi,budget_focused,Hyderabad,2023-01-19
55,55,Delhi|Pune|Mumbai|Hyderabad,early_career,Hyderabad,2024-08-29
56,56,Chennai|Hyderabad|Bengaluru|Delhi|Mumbai,early_career,Mumbai,2024-06-25
57,57,Mumbai|Pune|Chennai|Hyderabad,budget_focused,Hyderabad,2023-02-02
58,58,Chennai|Hyderabad|Delhi|Pune|Mumbai,early_career,Hyderabad,2024-06-07
59,59,Bengaluru|Delhi|Mumbai|Hyderabad,early_career,Hyderabad,2023-06-04
60,60,Chennai|Bengaluru|Mumbai,budget_focused,Bengaluru,2023-09-03
61,61,Bengaluru|Chennai|Delhi,budget_focused,Chennai,2024-06-24
62,62,Bengaluru|Chennai|Mumbai,early_career,Chennai,2024-12-02
63,63,Chennai|Mumbai|Pune|Bengaluru,family_focused,Pune,2024-11-22
64,64,Delhi|Chennai|Mumbai,early_career,Chennai,2023-06-21
65,65,Delhi|Chennai|Mumbai,family_focused,Chennai,2023-09-16
66,66,Chennai|Pune|Delhi|Hyderabad,early_career,Pune,2024-12-22
67,67,Bengaluru|Pune|Mumbai|Hyderabad,family_focused,Pune,2024-02-25
68,68,Chennai|Delhi|Mumbai|Pune|Bengaluru,family_focused,Bengaluru,2023-12-30
69,69,Chennai|Hyderabad|Pune,early_career,Hyderabad,2024-01-13
70,70,Hyderabad|Chennai|Bengaluru|Mumbai,early_career,Bengaluru,2024-12-22
71,71,Hyderabad|Bengaluru|Chennai,early_career,Bengaluru,2023-04-08
72,72,Chennai|Bengaluru|Delhi,early_career,Bengaluru,2023-01-22
73,73,Pune|Bengaluru|Delhi,budget_focused,Bengaluru,2024-01-18
74,74,Delhi|Hyderabad|Chennai|Mumbai,early_career,Chennai,2023-01-25
75,75,Bengaluru|Chennai|Mumbai,early_career,Mumbai,2023-03-26
76,76,Delhi|Mumbai|Pune,budget_focused,Pune,2023-05-24
77,77,Hyderabad|Pune|Delhi|Bengaluru|Mumbai,budget_focused,Bengaluru,2024-11-09
78,78,Mumbai|Bengaluru|Delhi|Hyderabad,budget_focused,Hyderabad,2023-08-08
79,79,Mumbai|Hyderabad|Chennai,early_career,Hyderabad,2024-03-08
80,80,Pune|Hyderabad|Chennai,early_career,Hyderabad,2024-03-04
81,81,Hyderabad|Delhi|Pune|Chennai|Bengaluru,early_career,Bengaluru,2024-03-28
82,82,Chennai|Bengaluru|Pune|Delhi,family_focused,Pune,2024-07-07
83,83,Chennai|Delhi|Mumbai,early_career,Delhi,2024-03-18
84,84,Chennai|Pune|Mumbai|Delhi|Hyderabad,budget_focused,Pune,2023-05-03
85,85,Hyderabad|Bengaluru|Mumbai,family_focused,Bengaluru,2023-12-05
86,86,Delhi|Pune|Hyderabad|Mumbai|Chennai,budget_focused,Mumbai,2023-01-29
87,87,Hyderabad|Mumbai|Pune|Bengaluru,budget_focused,Pune,2024-06-01
88,88,Pune|Delhi|Bengaluru|Hyderabad|Mumbai,family_focused,Bengaluru,2023-10-21
89,89,Mumbai|Delhi|Pune,family_focused,Pune,2023-05-27
90,90,Pune|Bengaluru|Mumbai|Hyderabad,budget_focused,Hyderabad,2024-06-03
91,91,Bengaluru|Delhi|Chennai|Mumbai,family_focused,Mumbai,2023-12-06
92,92,Bengaluru|Delhi|Pune|Chennai,family_focused,Pune,2024-11-21
93,93,Chennai|Mumbai|Delhi,family_focused,Mumbai,2024-07-10
94,94,Chennai|Bengaluru|Mumbai|Pune,early_career,Mumbai,2023-01-16
95,95,Bengaluru|Mumbai|Chennai,budget_focused,Chennai,2024-05-10
96,96,Hyderabad|Mumbai|Bengaluru|Pune|Chennai,family_focused,Bengaluru,2023-11-30
97,97,Bengaluru|Pune|Mumbai|Hyderabad,early_career,Hyderabad,2023-11-23
98,98,Pune|Bengaluru|Mumbai|Chennai|Delhi,family_focused,Bengaluru,2024-09-05
99,99,Hyderabad|Delhi|Mumbai,family_focused,Mumbai,2024-02-12
100,100,Hyderabad|Chennai|Mumbai,budget_focused,Chennai,2024-03-03
101,101,Pune|Delhi|Mumbai|Bengaluru,early_career,Delhi,2024-05-05
102,102,Hyderabad|Bengaluru|Pune|Mumbai,early_career,Pune,2024-12-12
103,103,Pune|Hyderabad|Chennai,early_career,Hyderabad,2023-11-02
104,104,Mumbai|Pune|Delhi,early_career,Pune,2024-04-09
105,105,Delhi|Pune|Chennai|Mumbai,early_career,Mumbai,2024-05-08
106,106,Pune|Bengaluru|Chennai,early_career,Bengaluru,2024-02-24
107,107,Delhi|Chennai|Mumbai|Hyderabad|Pune,early_career,Hyderabad,2023-06-20
108,108,Pune|Delhi|Bengaluru,budget_focused,Bengaluru,2024-03-02
109,109,Mumbai|Bengaluru|Pune,family_focused,Bengaluru,2023-07-09
110,110,Chennai|Hyderabad|Pune|Bengaluru,early_career,Pune,2024-10-19
111,111,Chennai|Delhi|Pune|Bengaluru,family_focused,Pune,2023-11-15
112,112,Hyderabad|Bengaluru|Chennai|Mumbai,budget_focused,Chennai,2023-06-28
